nan,nan,nan,nan,nan,nan,nan,nan,7.740185088961784459e+02,nan,nan,9.665582077327500201e+02,1.041738245880826526e+03,nan,nan,1.308482080727453422e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.443924413083587024e+04,nan,nan,nan,2.424747839321333231e+04,2.772918396614241647e+04,nan,nan,nan,4.798649911206745310e+04
nan,nan,nan,nan,nan,nan,nan,nan,6.390025891964945686e+02,nan,nan,7.967884961736398282e+02,nan,nan,nan,1.075624393905821989e+03,1.160998846536739165e+03,nan,nan,nan,nan,nan,nan,nan,2.205237128222579940e+03,nan,nan,nan,nan,3.436450463144774858e+03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.114776722691518080e+04,nan,nan,nan,1.850381925146502181e+04,2.111432876341639712e+04,nan,nan,nan,3.632396972394206387e+04
nan,nan,nan,nan,3.952919630257612766e+02,nan,nan,nan,5.278104704185207083e+02,nan,nan,6.573031361078711825e+02,7.076349798923205299e+02,nan,8.211373478604057254e+02,8.851508265935671034e+02,9.546550903261994563e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.767127849372336186e+03,nan,nan,nan,nan,nan,nan,nan,nan,6.863883865433252140e+03,nan,8.646805262033401959e+03,nan,nan,nan,1.416876315634394450e+04,nan,nan,nan,nan,2.753701797953720234e+04
nan,nan,nan,nan,nan,nan,nan,nan,4.361618455047977250e+02,nan,nan,5.425700286888580877e+02,5.838514543861604125e+02,nan,6.767792526842283678e+02,7.290864609149828084e+02,nan,nan,nan,nan,nan,nan,nan,nan,1.464765403898258228e+03,nan,1.727585619178184288e+03,nan,nan,2.235651325847104090e+03,nan,nan,nan,nan,nan,nan,4.358578745170314505e+03,nan,nan,nan,6.739727315145761168e+03,nan,nan,nan,1.089169520958116300e+04,nan,nan,nan,nan,2.091645637941721361e+04
nan,nan,nan,nan,nan,2.906262227746884150e+02,nan,nan,3.605666684859129418e+02,nan,nan,4.481032658152672070e+02,4.820073251102626841e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.253633874512182047e+03,nan,5.279467536150365049e+03,nan,nan,nan,8.408894662860553581e+03,nan,nan,nan,nan,1.592679168664847930e+04
nan,nan,nan,nan,nan,2.404790681295263823e+02,nan,nan,2.981734737181855621e+02,nan,nan,3.702557315066110846e+02,nan,nan,nan,4.958116473681981802e+02,nan,nan,nan,nan,nan,nan,nan,nan,9.806513560163718921e+02,nan,nan,nan,nan,1.472195637424366851e+03,nan,nan,nan,nan,nan,nan,nan,nan,3.372758349073590580e+03,nan,4.156154222153697447e+03,nan,nan,nan,6.522389025322886482e+03,nan,nan,nan,nan,1.216383651790441945e+04
nan,nan,nan,nan,nan,1.990260906672031069e+02,nan,nan,2.466483328532255825e+02,nan,nan,3.060552892653415142e+02,nan,nan,3.804440400062861727e+02,4.092670869179309534e+02,nan,nan,nan,nan,nan,6.391625987481745597e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.417966319309196933e+03,nan,nan,nan,nan,2.216097161038909690e+03,nan,nan,nan,3.287728278090972253e+03,nan,nan,nan,5.083857233139116943e+03,nan,nan,nan,nan,9.322769733657409233e+03
nan,nan,nan,nan,nan,1.647481373732460384e+02,nan,nan,2.040778811577578438e+02,nan,nan,2.530747977800903357e+02,2.719797671233271217e+02,nan,3.143162198271688226e+02,3.380096734826693705e+02,3.635839124723630107e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.789364221538010042e+02,nan,nan,nan,nan,nan,nan,1.782878241208675718e+03,nan,nan,nan,2.612862864477442599e+03,nan,nan,nan,3.982365749521379712e+03,nan,nan,nan,nan,7.174017450805828958e+03
nan,nan,nan,nan,nan,1.363948491464464041e+02,nan,nan,1.688913264701396031e+02,nan,nan,nan,2.249158311964162920e+02,nan,nan,2.792883436899784328e+02,3.003170865394331486e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.439282106970905943e+03,nan,nan,nan,2.085649077603969999e+03,nan,nan,nan,3.135037029930180324e+03,3.494247598928712705e+03,3.905457963348140311e+03,nan,4.919916351710428899e+03,5.544983649403896379e+03
nan,nan,nan,nan,nan,1.129361585753599257e+02,nan,nan,1.397975245120138936e+02,nan,nan,nan,nan,nan,nan,2.308611792953281565e+02,2.481702467891981883e+02,nan,nan,nan,nan,nan,nan,nan,4.471072067583241960e+02,nan,nan,nan,nan,6.559543082461764243e+02,nan,nan,nan,nan,nan,nan,nan,nan,1.390694751089691181e+03,nan,1.671628695792442613e+03,nan,nan,nan,2.479972913719068856e+03,2.754147537586047292e+03,nan,nan,nan,4.306167831889173613e+03
