2.000757042204382060e+03 2.889435679827138301e+03 4.243400814359500146e+03 6.249627239348156763e+03 9.241548643276779330e+03 1.379025180178003029e+04 2.102198953574489860e+04 3.384705763356741227e+04 6.394317096607327403e+04 2.103127948155328340e+05
4.790539423975777140e+02 6.430676062536526842e+02 9.172432800686867722e+02 1.346493697782907475e+03 1.991031572131199255e+03 2.971019979617835816e+03 4.529050437349308595e+03 7.292126160756367426e+03 1.377612766259570162e+04 4.531038380160264205e+04
1.285088303679446540e+02 1.586261460293378320e+02 2.083487665569096521e+02 2.925623140518778769e+02 4.290606159265499286e+02 6.400874762818441468e+02 9.757544817567084010e+02 1.571038702597654492e+03 2.967958536738322437e+03 9.761602269868753865e+03
3.745599910209756445e+01 4.362038744663438194e+01 5.297101230189816334e+01 6.817848970850836565e+01 9.413905831334369623e+01 1.380540305213772569e+02 2.102210816067482995e+02 3.384662726674592932e+02 6.393969508065864602e+02 2.102699928898418420e+03
1.151225137633198869e+01 1.293259404554053305e+01 1.491599275254533907e+01 1.787096869750808636e+01 2.261464600043523987e+01 3.078783953883781521e+01 4.546224038048343630e+01 7.291797969737140761e+01 1.377035717280882920e+02 4.523914995524811502e+02
3.667451388901871834e+00 4.029180758100377346e+00 4.503868374735792379e+00 5.159255135358747246e+00 6.125282867683366383e+00 7.671684274896684919e+00 1.040765572536271932e+01 1.588196123378321012e+01 2.960269900375613261e+01 9.644974755798044441e+01
1.202485128749454013e+00 1.303192252142583829e+00 1.429961874230670560e+00 1.596017243293709864e+00 1.825339744982672041e+00 2.165675518211927386e+00 2.724929632730292095e+00 3.798607996275660259e+00 6.522630944692039634e+00 1.955051373944001725e+01
4.052818550839441536e-01 4.358955220619529225e-01 4.735155613119282902e-01 5.213161203431739832e-01 5.848378402454715852e-01 6.747162155899364411e-01 8.142778787882529734e-01 1.065977367076603954e+00 1.659489734453834409e+00 4.018802642830726413e+00
1.397919030542821017e-01 1.498133703715475717e-01 1.619878135623818716e-01 1.772350696944738624e-01 1.971307895253984199e-01 2.246429502477583773e-01 2.661582910602934837e-01 3.383510964399589760e-01 4.990451813047646068e-01 1.039230186049870719e+00
4.888563316056232511e-02 5.231356273419031366e-02 5.645839039911187268e-02 6.161887105493598499e-02 6.830282449933486322e-02 7.745933694367043709e-02 9.111341400009631553e-02 1.144837169600742971e-01 1.650974754530737110e-01 3.218648802300785317e-01
